merge_key,doc_id,len_xml,len_html,len_ocr,len_pdf,len_merged
한국가스공사_재공고_차세대_통합정보시스템_erp_구축,한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축,0,102607,0,0,102607
한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,한국건강가정진흥원_2025년 아이돌봄인력 인적성 검사 정보시스템 운영,62370,0,0,0,62370
한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선,42719,0,0,0,42719
한국농수산식품유통공사_농산물가격안정기금_정부예산회계연계시스템,한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 ,0,65373,0,0,65373
한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역,75141,0,0,0,75141
한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아,103183,0,0,0,103183
한국로봇산업진흥원_한국로봇산업진흥원_사업관리시스템_온라인평가,한국로봇산업진흥원_한국로봇산업진흥원 사업관리시스템 온라인평가 ,0,51217,0,0,51217
한국발명진흥회_입찰공고_2024년_건설기술에_관한_특허_실용신안_활용실,한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실,0,58046,0,0,58046
한국보건산업진흥원_의료기기산업_종합정보시스템_정보관리기관_기능,한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능,0,71994,0,0,71994
한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,한국보육진흥원_연차별 자율 품질관리 시스템 기능개선,61755,0,0,0,61755
한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,한국사학진흥재단_대학재정정보시스템(기본재산 및 기채 사후관리) 고,98166,0,0,0,98166
한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,한국사회보장정보원_라오스 보건의료정보화 협력을 위한 사전타당성 조,49211,0,0,0,49211
한국산업단지공단_산단_안전정보시스템_1차_구축_용역,한국산업단지공단_산단 안전정보시스템 1차 구축 용역,86465,0,0,0,86465
한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,한국산업인력공단_RFID기반 국가자격 시험 결과물 스마트 관리시스템 도,47698,0,0,0,47698
한국생산기술연구원_2세대_전자조달시스템_기반구축사업,한국생산기술연구원_2세대 전자조달시스템 기반구축사업,69094,0,0,0,69094
한국생산기술연구원_eip3_0_고압가스_안전관리_시스템_구축_용역,한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역,0,102357,0,0,102357
한국수자원공사_건설통합시스템_cms_고도화,한국수자원공사_건설통합시스템(CMS) 고도화,60842,0,0,0,60842
한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역,55482,0,0,0,55482
한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성,47540,0,0,0,47540
한국수자원조사기술원_수문자료정보관리시스템_hdims_재구축_용역_3단계,한국수자원조사기술원_수문자료정보관리시스템(HDIMS) 재구축 용역(3단계,0,74031,0,0,74031
한국수출입은행_긴급_모잠비크_마푸토_지능형교통시스템_its_구축사업,한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업,0,71876,0,0,71876
한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도,79388,0,0,0,79388
한국연구재단_2024년_기초학문자료센터_시스템_운영_및_연구성과물_db구,한국연구재단_2024년 기초학문자료센터 시스템 운영 및 연구성과물 DB구,0,69004,0,0,69004
한국연구재단_2024년_대학산학협력활동_실태조사_시스템_uicc_기능개선,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선,0,69792,0,0,69792
한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,42280,0,0,0,42280
