join_key,side,doc_id,merge_key,sample_path
한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,ocr,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,xml,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅,한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,ocr,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅,한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,xml,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차),한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,ocr,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차),한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,xml,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스,한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,ocr,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스,한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,xml,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,ocr,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,ocr,한국철도공사_용역_예약발매시스템_개량_ISMP_용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역_859d37,
한국한의학연구원_통합정보시스템_고도화_용역,xml,한국한의학연구원_통합정보시스템 고도화 용역,한국한의학연구원_통합정보시스템_고도화_용역,
한국한의학연구원_통합정보시스템_고도화_용역,ocr,한국한의학연구원_통합정보시스템 고도화 용역,한국한의학연구원_통합정보시스템_고도화_용역,
한국한의학연구원_통합정보시스템_고도화_용역,ocr,한국한의학연구원_통합정보시스템_고도화_용역,한국한의학연구원_통합정보시스템_고도화_용역_629a83,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,xml,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,ocr,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,ocr,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축_a2ff76,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,xml,한영대학_한영대학교 특성화 맞춤형 교육환경 구축_트랙운영 학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,ocr,한영대학_한영대학교 특성화 맞춤형 교육환경 구축_트랙운영 학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,ocr,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보_c4b1f0,
